date,MKT(3F),SMB(3F),HML(3F),MKT(5F),SMB(5F),HML(5F),RMW(5F),CMA(5F)
1942-12,5.12,-2.51,0.58,,,,,
1943-01,7.13,8.8,8.18,,,,,
1943-02,6.15,4.75,6.4,,,,,
1943-03,6.01,4.99,5.48,,,,,
1943-04,0.81,2.05,5.82,,,,,
1943-05,5.74,4.35,3.25,,,,,
1943-06,1.82,-1.02,-0.7,,,,,
1943-07,-4.77,-2.39,-2.29,,,,,
1943-08,1.3,-0.6,-0.43,,,,,
1943-09,2.4,1.29,1.43,,,,,
1943-10,-1.15,0.58,1.64,,,,,
1943-11,-5.91,-1.65,-4.02,,,,,
1943-12,6.36,3.34,3.24,,,,,
1944-01,1.74,2.55,2.16,,,,,
1944-02,0.37,-0.1,0.84,,,,,
1944-03,2.46,1.73,3.43,,,,,
1944-04,-1.69,-1.37,-1.14,,,,,
1944-05,5.07,1.68,1.04,,,,,
1944-06,5.49,4.01,1.75,,,,,
1944-07,-1.49,0.58,-0.42,,,,,
1944-08,1.57,2.33,-1.49,,,,,
1944-09,0.01,0.49,-1.16,,,,,
1944-10,0.16,-0.15,-0.33,,,,,
1944-11,1.71,0.36,2.38,,,,,
1944-12,4.03,2.25,5.91,,,,,
1945-01,2.01,2.46,0.67,,,,,
1945-02,6.23,1.55,4.34,,,,,
1945-03,-3.89,-1.6,-1.74,,,,,
1945-04,7.8,0.32,3.24,,,,,
1945-05,1.73,1.52,0.36,,,,,
1945-06,0.39,3.12,4.21,,,,,
1945-07,-2.17,-1.52,-2.62,,,,,
1945-08,6.2,1.5,-4.27,,,,,
1945-09,4.77,1.7,0.42,,,,,
1945-10,3.89,2.38,2.13,,,,,
1945-11,5.39,4.31,3.96,,,,,
1945-12,1.2,2.1,-2.28,,,,,
1946-01,6.24,3.91,2.48,,,,,
1946-02,-5.83,-0.71,-1.46,,,,,
1946-03,5.87,0.29,-0.54,,,,,
1946-04,4.23,2.35,0.32,,,,,
1946-05,3.93,1.46,1.28,,,,,
1946-06,-3.89,-1.58,-0.39,,,,,
1946-07,-2.69,-2.07,0.07,,,,,
1946-08,-6.44,-1.84,0.55,,,,,
1946-09,-10.17,-4.4,-1.92,,,,,
1946-10,-1.44,0.1,3.46,,,,,
1946-11,-0.01,-0.44,1.47,,,,,
1946-12,4.96,0.08,-1.36,,,,,
1947-01,1.25,2.2,-0.73,,,,,
1947-02,-1.08,0.68,0.15,,,,,
1947-03,-1.67,-1.62,0.61,,,,,
1947-04,-4.8,-3.96,0.85,,,,,
1947-05,-0.97,-3.26,0.33,,,,,
1947-06,5.29,-0.3,-0.59,,,,,
1947-07,4.14,1.43,2.82,,,,,
1947-08,-1.74,0.32,0.18,,,,,
1947-09,-0.54,1.64,1.36,,,,,
1947-10,2.47,0.51,0.07,,,,,
1947-11,-1.97,-1.71,1.1,,,,,
1947-12,3.0,-2.46,3.71,,,,,
1948-01,-3.93,2.5,1.39,,,,,
1948-02,-4.38,-1.72,0.07,,,,,
1948-03,8.07,0.14,4.5,,,,,
1948-04,3.65,-1.65,4.11,,,,,
1948-05,7.3,0.91,-1.27,,,,,
1948-06,-0.1,-1.82,2.81,,,,,
1948-07,-5.09,-0.33,0.14,,,,,
1948-08,0.25,-1.11,0.28,,,,,
1948-09,-2.97,-1.23,-1.71,,,,,
1948-10,5.96,-1.5,0.58,,,,,
1948-11,-9.3,-0.6,-4.13,,,,,
1948-12,3.26,-2.82,-1.94,,,,,
1949-01,0.23,1.77,1.23,,,,,
1949-02,-2.93,-1.9,-0.86,,,,,
1949-03,4.04,2.5,1.29,,,,,
1949-04,-1.87,-0.89,-1.13,,,,,
1949-05,-2.94,-0.79,-2.37,,,,,
1949-06,0.1,-0.91,-1.65,,,,,
1949-07,5.54,0.55,0.37,,,,,
1949-08,2.6,0.2,-0.55,,,,,
1949-09,3.09,1.0,0.19,,,,,
1949-10,3.14,1.04,-0.48,,,,,
1949-11,1.82,-1.02,-0.96,,,,,
1949-12,5.13,2.06,1.77,,,,,
1950-01,1.7,3.33,0.12,,,,,
1950-02,1.48,0.03,-0.79,,,,,
1950-03,1.26,-1.44,-2.81,,,,,
1950-04,3.94,1.94,1.3,,,,,
1950-05,4.31,-2.1,0.46,,,,,
1950-06,-5.94,-2.34,-0.7,,,,,
1950-07,1.36,0.69,13.56,,,,,
1950-08,4.85,0.76,-1.5,,,,,
1950-09,4.81,0.49,-1.07,,,,,
1950-10,-0.18,-0.47,1.3,,,,,
1950-11,2.76,-0.89,3.33,,,,,
1950-12,5.54,1.47,7.36,,,,,
1951-01,5.7,1.76,3.64,,,,,
1951-02,1.41,0.08,-2.85,,,,,
1951-03,-2.15,-0.77,-4.1,,,,,
1951-04,4.86,-1.45,3.27,,,,,
1951-05,-2.34,0.0,-1.37,,,,,
1951-06,-2.62,-2.06,-3.75,,,,,
1951-07,6.94,-1.99,2.06,,,,,
1951-08,4.27,0.99,-0.13,,,,,
1951-09,0.7,1.87,0.63,,,,,
1951-10,-2.53,-0.22,0.23,,,,,
1951-11,0.57,-0.32,-0.06,,,,,
1951-12,3.33,-2.26,-1.59,,,,,
1952-01,1.45,-0.61,1.55,,,,,
1952-02,-2.62,0.82,-0.61,,,,,
1952-03,4.44,-2.99,2.17,,,,,
1952-04,-4.97,0.46,-0.1,,,,,
1952-05,3.2,-1.0,0.04,,,,,
1952-06,3.83,-1.64,1.24,,,,,
1952-07,0.91,-0.4,-0.35,,,,,
1952-08,-0.76,1.15,0.01,,,,,
1952-09,-2.03,1.11,-1.52,,,,,
1952-10,-0.66,-1.05,-0.46,,,,,
1952-11,5.94,-0.72,0.97,,,,,
1952-12,2.93,-1.48,0.19,,,,,
1953-01,-0.34,3.61,1.32,,,,,
1953-02,-0.27,2.15,-0.09,,,,,
1953-03,-1.43,-0.22,-0.85,,,,,
1953-04,-2.83,0.3,1.57,,,,,
1953-05,0.52,-0.07,0.23,,,,,
1953-06,-1.89,-1.87,-0.47,,,,,
1953-07,2.4,-1.0,-0.22,,,,,
1953-08,-4.52,0.29,-3.53,,,,,
1953-09,0.2,-0.84,-2.44,,,,,
1953-10,4.6,-1.35,-0.25,,,,,
1953-11,2.83,-1.3,-0.15,,,,,
1953-12,0.03,-0.85,-2.84,,,,,
1954-01,5.13,0.48,3.44,,,,,
1954-02,1.67,-0.19,-0.29,,,,,
1954-03,3.65,-0.54,-1.5,,,,,
1954-04,4.27,-3.44,-0.34,,,,,
1954-05,3.09,0.41,2.45,,,,,
1954-06,1.07,0.38,0.01,,,,,
1954-07,4.99,1.06,4.13,,,,,
1954-08,-2.34,2.69,-1.38,,,,,
1954-09,6.39,-2.53,0.68,,,,,
1954-10,-1.67,0.62,0.67,,,,,
1954-11,9.38,-2.62,4.4,,,,,
1954-12,5.48,2.12,5.66,,,,,
1955-01,0.6,0.36,2.14,,,,,
1955-02,3.02,1.59,0.58,,,,,
1955-03,-0.16,-0.74,1.97,,,,,
1955-04,3.11,-1.62,0.68,,,,,
1955-05,0.93,-0.28,-0.96,,,,,
1955-06,6.55,-4.65,1.84,,,,,
1955-07,1.9,-1.17,0.35,,,,,
1955-08,0.21,-0.44,0.72,,,,,
1955-09,-0.36,0.35,-0.99,,,,,
1955-10,-2.68,1.48,-0.15,,,,,
1955-11,7.03,-2.22,0.33,,,,,
1955-12,1.49,2.16,-2.3,,,,,
1956-01,-3.03,0.37,0.95,,,,,
1956-02,3.77,-0.98,-0.43,,,,,
1956-03,6.64,-2.09,-0.46,,,,,
1956-04,0.28,0.01,-0.24,,,,,
1956-05,-5.2,1.45,-1.31,,,,,
1956-06,3.48,-1.48,-1.13,,,,,
1956-07,4.84,-1.66,-0.04,,,,,
1956-08,-3.18,1.89,-0.74,,,,,
1956-09,-5.14,1.57,1.76,,,,,
1956-10,0.52,-0.1,-0.06,,,,,
1956-11,0.36,-0.21,1.78,,,,,
1956-12,3.16,-0.01,-2.15,,,,,
1957-01,-3.58,3.37,2.81,,,,,
1957-02,-2.06,-0.72,-0.72,,,,,
1957-03,2.13,0.26,-0.48,,,,,
1957-04,4.26,-1.59,-1.45,,,,,
1957-05,3.45,-1.05,-2.1,,,,,
1957-06,-0.74,0.54,0.01,,,,,
1957-07,0.66,-0.76,0.43,,,,,
1957-08,-5.11,0.05,-0.41,,,,,
1957-09,-5.98,0.08,0.92,,,,,
1957-10,-4.32,-2.52,-1.8,,,,,
1957-11,2.3,0.4,-2.87,,,,,
1957-12,-3.91,-0.98,-1.62,,,,,
1958-01,4.66,4.39,4.19,,,,,
1958-02,-1.52,0.65,0.33,,,,,
1958-03,3.27,0.65,-0.97,,,,,
1958-04,3.09,-0.62,1.61,,,,,
1958-05,2.31,2.16,-0.26,,,,,
1958-06,2.93,-0.19,0.4,,,,,
1958-07,4.39,0.47,3.06,,,,,
1958-08,1.91,1.18,0.36,,,,,
1958-09,4.66,0.12,2.85,,,,,
1958-10,2.53,1.09,-1.18,,,,,
1958-11,3.01,1.97,-1.18,,,,,
1958-12,5.15,-2.03,0.03,,,,,
1959-01,0.71,3.02,2.91,,,,,
1959-02,0.95,1.46,1.16,,,,,
1959-03,0.28,1.49,-0.34,,,,,
1959-04,3.66,-0.6,-1.23,,,,,
1959-05,1.73,-2.16,1.79,,,,,
1959-06,-0.25,0.67,1.31,,,,,
1959-07,3.17,-0.3,0.23,,,,,
1959-08,-1.39,-0.76,0.44,,,,,
1959-09,-4.8,-0.09,0.55,,,,,
1959-10,1.28,1.44,-2.1,,,,,
1959-11,1.6,1.23,-3.21,,,,,
1959-12,2.45,-0.58,-0.07,,,,,
1960-01,-6.98,2.09,2.78,,,,,
1960-02,1.17,0.51,-1.93,,,,,
1960-03,-1.63,-0.49,-2.94,,,,,
1960-04,-1.71,0.32,-2.28,,,,,
1960-05,3.12,1.21,-3.7,,,,,
1960-06,2.08,-0.21,-0.34,,,,,
1960-07,-2.37,-0.51,1.98,,,,,
1960-08,3.01,0.87,-0.18,,,,,
1960-09,-5.99,-1.11,1.62,,,,,
1960-10,-0.71,-4.08,2.83,,,,,
1960-11,4.69,0.4,-2.43,,,,,
1960-12,4.71,-1.55,-0.81,,,,,
1961-01,6.2,0.64,3.72,,,,,
1961-02,3.57,3.93,-0.66,,,,,
1961-03,2.89,3.3,-0.73,,,,,
1961-04,0.29,0.07,2.12,,,,,
1961-05,2.4,2.01,0.37,,,,,
1961-06,-3.08,-2.49,-0.14,,,,,
1961-07,2.83,-1.9,-0.09,,,,,
1961-08,2.57,-1.75,-0.28,,,,,
1961-09,-2.15,-1.07,-0.61,,,,,
1961-10,2.57,-1.65,0.15,,,,,
1961-11,4.45,1.26,-1.23,,,,,
1961-12,-0.18,-0.85,1.79,,,,,
1962-01,-3.87,1.77,5.13,,,,,
1962-02,1.81,-1.15,0.82,,,,,
1962-03,-0.68,0.52,-1.38,,,,,
1962-04,-6.59,-0.7,0.03,,,,,
1962-05,-8.65,-3.34,2.77,,,,,
1962-06,-8.47,-0.59,2.55,,,,,
1962-07,6.28,1.52,-3.41,,,,,
1962-08,2.13,1.22,-1.2,,,,,
1962-09,-5.22,-2.42,1.28,,,,,
1962-10,-0.05,-3.97,1.3,,,,,
1962-11,10.87,2.61,0.95,,,,,
1962-12,1.01,-3.8,0.36,,,,,
1963-01,4.93,3.08,2.21,,,,,
1963-02,-2.38,0.48,2.18,,,,,
1963-03,3.08,-2.59,2.06,,,,,
1963-04,4.51,-1.34,1.0,,,,,
1963-05,1.76,1.13,2.54,,,,,
1963-06,-2.0,-0.27,0.75,,,,,
1963-07,-0.39,-0.45,-0.97,-0.39,-0.41,-0.97,0.68,-1.18
1963-08,5.07,-0.98,1.8,5.07,-0.8,1.8,0.36,-0.35
1963-09,-1.57,-0.33,0.13,-1.57,-0.52,0.13,-0.71,0.29
1963-10,2.53,-0.58,-0.1,2.53,-1.39,-0.1,2.8,-2.01
1963-11,-0.85,-1.17,1.75,-0.85,-0.88,1.75,-0.51,2.24
1963-12,1.83,-2.16,-0.02,1.83,-2.1,-0.02,0.03,-0.07
1964-01,2.24,-0.11,1.48,2.24,0.13,1.48,0.17,1.47
1964-02,1.54,0.11,2.81,1.54,0.28,2.81,-0.05,0.91
1964-03,1.41,0.87,3.4,1.41,1.23,3.4,-2.21,3.22
1964-04,0.1,-1.35,-0.67,0.1,-1.52,-0.67,-1.27,-1.08
1964-05,1.42,-0.86,1.86,1.42,-0.63,1.86,-0.16,0.17
1964-06,1.27,-0.12,0.62,1.27,0.29,0.62,-0.28,-0.17
1964-07,1.74,0.24,0.75,1.74,0.5,0.75,0.08,1.91
1964-08,-1.44,0.16,0.08,-1.44,0.41,0.08,0.12,0.35
1964-09,2.69,-0.54,1.7,2.69,-0.34,1.7,-0.56,0.62
1964-10,0.59,0.42,1.17,0.59,0.87,1.17,-0.43,0.47
1964-11,0.0,0.69,-1.96,0.0,-0.15,-1.96,0.63,-0.26
